t,ax,ay,az 
1.5607426789613E13,1.0505219,2.0402527,8.644531
1.5607431825013E13,1.1408081,2.0692444,8.913361
1.5607436860413E13,1.2144623,2.0177155,9.097977
1.5607441895814E13,1.2359924,1.8959656,9.2005005
1.5607446931214E13,1.2034607,1.7519226,9.2885895
1.5607451966615E13,1.1634216,1.59935,9.382248
1.5607457002015E13,1.1137238,1.4615326,9.437088
1.5607462037415E13,1.0301361,1.3449554,9.368744
1.5607467072816E13,0.9049988,1.3037567,9.221329
1.5607472108216E13,0.73783875,1.2824402,9.098267
1.5607477143616E13,0.5748596,1.2565155,9.01059
1.5607482179017E13,0.44055176,1.2189636,9.03595
1.5607487214417E13,0.2992096,1.1282043,9.1465
1.5607492249818E13,0.18882751,1.0200195,9.237701
1.5607497285218E13,0.09617615,0.94859314,9.39003
1.5607502320618E13,0.06996155,0.9280243,9.550888
1.5607507356019E13,0.06890869,0.9786682,9.676666
1.5607512391419E13,0.09623718,1.1050568,9.841003
1.560751742682E13,0.15072632,1.2332916,10.120972
1.560752246222E13,0.17132568,1.2769012,10.300827
1.560752749762E13,0.1991272,1.3167877,10.329483
1.5607532533021E13,0.19493103,1.2961884,10.370743
1.5607537568421E13,0.1053009,1.2267914,10.439163
1.5607542603822E13,0.052108765,1.1813202,10.45639
1.5607547639222E13,-0.042541504,1.1029663,10.447678
1.5607552674622E13,-0.109298706,1.1007843,10.341446
1.5607557710023E13,-0.14419556,1.0492249,10.223221
1.5607562745423E13,-0.24710083,1.0198975,10.119324
1.5607567780824E13,-0.3945465,1.0320435,10.018051
1.5607572816224E13,-0.539032,0.9834442,9.923065
1.5607577851624E13,-0.73335266,1.0202484,9.771866
1.5607582887025E13,-0.8192749,1.0953217,9.669022
1.5607587922425E13,-0.922287,1.1368561,9.557739
1.5607592957825E13,-0.85520935,1.3254089,9.532211
1.5607597993226E13,-0.7471466,1.5922699,9.482178
1.5607603028626E13,-0.59062195,1.7574005,9.335236
1.5607608064027E13,-0.361557,1.9538574,9.01503
1.5607613099427E13,-0.17425537,2.1513672,8.754654
1.5607618134827E13,-0.0071868896,2.2716827,8.49881
1.5607623170228E13,0.17286682,2.4356842,8.450333
1.5607628205628E13,0.25317383,2.4794464,8.403
1.5607633241029E13,0.2748108,2.5549316,8.43219
1.5607638276429E13,0.2348938,2.5547333,8.470627
1.5607643311829E13,0.23547363,2.4871063,8.586014
1.560764834723E13,0.24736023,2.45047,8.821182
1.560765338263E13,0.30168152,2.4809723,9.068451
1.5607658418031E13,0.31347656,2.4695892,9.224594
1.5607663453431E13,0.21391296,2.4804688,9.294266
1.5607668488831E13,0.16500854,2.4285278,9.302933
1.5607673524232E13,0.09274292,2.3843231,9.295181
1.5607678559632E13,0.0056915283,2.3061218,9.23082
1.5607683595032E13,-0.06724548,2.211914,9.191162
1.5607688630433E13,-0.099365234,2.2253418,9.03186
1.5607693665833E13,-0.08226013,2.2556458,8.98381
1.5607698701234E13,-0.07839966,2.324463,8.940689
1.5607703736634E13,-0.04095459,2.4036102,8.962677
1.5607708772034E13,-0.051101685,2.3966827,9.050522
1.5607713807435E13,-0.05960083,2.358963,9.052414
1.5607718842835E13,-0.03967285,2.3472595,9.0646515
1.5607723878236E13,-2.89917E-4,2.324417,9.096176
1.5607728913636E13,0.026535034,2.2872314,9.06488
1.5607733949036E13,0.057006836,2.270996,9.007584
1.5607738984437E13,0.10429382,2.2963715,8.935608
1.5607744019837E13,0.12168884,2.3650208,8.911423
1.5607749055238E13,0.15361023,2.4350433,8.85318
1.5607754090638E13,0.22035217,2.5160522,8.834671
1.5607759126038E13,0.26713562,2.6015015,8.925552
1.5607764161439E13,0.23587036,2.6141815,9.012909
1.5607769196839E13,0.15800476,2.573166,9.166992
1.560777423224E13,0.06852722,2.4470215,9.2803955
1.560777926764E13,-0.012969971,2.3193665,9.382202
1.560778430304E13,-0.12849426,2.2517548,9.491074
1.5607789338441E13,-0.25849915,2.2203522,9.554443
1.5607794373841E13,-0.33895874,2.2285614,9.589111
1.5607799409241E13,-0.34017944,2.2820587,9.573029
1.5607804444642E13,-0.2767334,2.3720856,9.559525
1.5607809480042E13,-0.1971283,2.4721832,9.571701
1.5607814515443E13,-0.11784363,2.509842,9.590057
1.5607819550843E13,-0.03489685,2.4943542,9.514618
1.5607824586243E13,0.05052185,2.5188446,9.4604645
1.5607829621644E13,0.14266968,2.5623474,9.533508
1.5607834657044E13,0.2346344,2.6307068,9.620834
1.5607839692445E13,0.28935242,2.713562,9.718079
1.5607844727845E13,0.33125305,2.7790222,9.789001
1.5607849763245E13,0.36312866,2.8293457,9.825073
1.5607854798646E13,0.36535645,2.9123688,9.802582
1.5607859834046E13,0.2574005,2.925705,9.753906
1.5607864869447E13,0.054336548,2.865387,9.618118
1.5607869904847E13,-0.08065796,2.8373413,9.486603
1.5607874940247E13,-0.13276672,2.785797,9.318954
1.5607879975648E13,-0.23434448,2.777176,9.069107
1.5607885011048E13,-0.31541443,2.8131256,8.867737
1.5607890046449E13,-0.4039917,2.8057098,8.764862
1.5607895081849E13,-0.44387817,2.850708,8.881638
1.5607900117249E13,-0.5301666,2.8023987,8.951218
1.560790515265E13,-0.49736023,2.738922,9.114288
1.560791018805E13,-0.4697113,2.6780853,9.250931
1.560791522345E13,-0.4072113,2.675766,9.387314
1.5607920258851E13,-0.3462677,2.695816,9.520309
1.5607925294251E13,-0.36557007,2.7131805,9.542648
1.5607930329652E13,-0.30278015,2.7997131,9.578857
1.5607935365052E13,-0.2822113,2.8913422,9.692841
1.5607940400452E13,-0.29093933,2.9555817,9.7771
1.5607945435853E13,-0.3428955,3.006485,9.856689
1.5607950471253E13,-0.27926636,3.0261536,9.838608
1.5607955506654E13,-0.2551422,3.0066986,9.871002
1.5607960542054E13,-0.23728943,2.984375,9.819687
1.5607965577454E13,-0.24180603,3.0109406,9.613861
1.5607970612855E13,-0.25897217,2.990738,9.48851
1.5607975648255E13,-0.31680298,2.999054,9.520279
1.5607980683656E13,-0.37545776,3.0487976,9.499649
1.5607985719056E13,-0.4257202,3.055542,9.513794
1.5607990754456E13,-0.31936646,2.9937744,9.502228
1.5607995789857E13,-0.3120575,3.0138702,9.476578
1.5608000825257E13,-0.3275299,2.9915009,9.4436035
1.5608005860657E13,-0.34959412,2.9693909,9.538483
1.5608010896058E13,-0.3627777,2.969757,9.478592
1.5608015931458E13,-0.32600403,2.9745178,9.370911
1.5608020966859E13,-0.28959656,3.0559845,9.314133
1.5608026002259E13,-0.14987183,3.213562,9.396805
1.5608031037659E13,-0.11256409,3.3270264,9.582245
1.560803607306E13,-0.04071045,3.4042206,9.735199
1.560804110846E13,0.017211914,3.4157257,9.861328
1.5608046143861E13,0.03126526,3.3372345,9.923325
1.5608051179261E13,-0.013626099,3.2463226,10.038086
1.5608056214661E13,-0.030654907,3.174881,10.034515
1.5608061250062E13,-0.1747284,3.0808868,9.973831
1.5608066285462E13,-0.2460022,3.048523,9.92305
1.5608071320863E13,-0.22994995,3.052536,9.921448
1.5608076356263E13,-0.19856262,3.1213226,10.007584
1.5608081391663E13,-0.1546936,3.2123108,10.098572
1.5608086427064E13,-0.07159424,3.248993,10.179886
1.5608091462464E13,0.013397217,3.2389832,10.314972
1.5608096497865E13,0.112716675,3.213379,10.425003
1.5608101533265E13,0.1567688,3.2052917,10.429031
1.5608106568665E13,0.0859375,3.1915283,10.350159
1.5608111604066E13,-0.058380127,3.09758,10.210953
1.5608116639466E13,-0.24206543,2.953125,10.033279
1.5608121674866E13,-0.3534851,2.879715,9.796112
