t,mx,my,mz,mxb,myb,mzb 
1.5397390155271E13,101.97449,-132.66449,468.29834,1.0238647,68.74237,496.78802
1.5397410296872E13,106.303406,-109.41467,467.19818,1.0238647,68.74237,496.78802
1.5397430438474E13,106.622314,-106.14319,467.19818,1.0238647,68.74237,496.78802
1.5397450580076E13,109.1568,-76.40228,467.29584,1.0238647,68.74237,496.78802
1.5397470721677E13,107.16858,-67.066956,468.04504,1.0238647,68.74237,496.78802
1.5397490863279E13,105.57861,-64.671326,467.77344,1.0238647,68.74237,496.78802
1.539751100488E13,94.13605,-46.82312,465.4663,1.0238647,68.74237,496.78802
1.5397531146482E13,82.62329,-26.274109,461.6104,1.0238647,68.74237,496.78802
1.5397551288083E13,79.940796,-21.826172,460.77728,1.0238647,68.74237,496.78802
1.5397571429685E13,66.81976,-0.09613037,456.62994,1.0238647,68.74237,496.78802
1.5397591571286E13,60.325623,10.543823,454.32892,1.0238647,68.74237,496.78802
1.5397611712888E13,58.638,12.149048,454.0146,1.0238647,68.74237,496.78802
1.539763185449E13,51.21765,18.46466,453.05634,1.0238647,68.74237,496.78802
1.5397651996091E13,45.46051,21.606445,453.31268,1.0238647,68.74237,496.78802
1.5397672137693E13,44.12079,22.657776,453.50037,1.0238647,68.74237,496.78802
1.5397692279294E13,38.94348,25.70343,453.89404,1.0238647,68.74237,496.78802
1.5397712420896E13,34.742737,26.446533,453.65143,1.0238647,68.74237,496.78802
1.5397732562497E13,33.52661,26.66626,453.2196,1.0238647,68.74237,496.78802
1.5397752704099E13,29.241943,27.815247,452.18658,1.0238647,68.74237,496.78802
1.5397772845701E13,25.75531,29.211426,451.9577,1.0238647,68.74237,496.78802
1.5397792987302E13,24.94049,29.022217,450.66833,1.0238647,68.74237,496.78802
1.5397813128904E13,22.740173,28.43628,448.40088,1.0238647,68.74237,496.78802
1.5397833270505E13,21.434021,28.001404,448.40088,1.0238647,68.74237,496.78802
1.5397853412107E13,21.29364,27.861023,447.85614,1.0238647,68.74237,496.78802
1.5397873553708E13,20.802307,27.940369,446.49048,1.0238647,68.74237,496.78802
1.539789369531E13,20.396423,28.347778,445.69244,1.0238647,68.74237,496.78802
1.5397913836911E13,19.078064,26.564026,445.16144,1.0238647,68.74237,496.78802
1.5397933978513E13,17.927551,25.784302,444.35425,1.0238647,68.74237,496.78802
1.5397954120115E13,18.495178,27.48413,444.1681,1.0238647,68.74237,496.78802
1.5397974261716E13,18.495178,26.803589,443.83698,1.0238647,68.74237,496.78802
1.5397994403318E13,18.666077,24.899292,442.8192,1.0238647,68.74237,496.78802
1.5398014544919E13,18.841553,23.680115,442.13562,1.0238647,68.74237,496.78802
1.5398034686521E13,18.19458,23.587036,442.5888,1.0238647,68.74237,496.78802
1.5398054828122E13,17.723083,23.599243,442.1631,1.0238647,68.74237,496.78802
1.5398074969724E13,17.803955,23.680115,441.45813,1.0238647,68.74237,496.78802
1.5398095111326E13,18.101501,23.181152,441.9464,1.0238647,68.74237,496.78802
1.5398115252927E13,17.721558,22.415161,442.10968,1.0238647,68.74237,496.78802
1.5398135394529E13,17.285156,22.125244,441.96625,1.0238647,68.74237,496.78802
1.539815553613E13,18.141174,22.125244,441.7572,1.0238647,68.74237,496.78802
1.5398175677732E13,18.452454,22.125244,441.6275,1.0238647,68.74237,496.78802
1.5398195819333E13,18.322754,22.125244,441.6275,1.0238647,68.74237,496.78802
1.5398215960935E13,18.322754,21.66748,441.8518,1.0238647,68.74237,496.78802
1.5398236102536E13,18.666077,21.089172,441.18195,1.0238647,68.74237,496.78802
1.5398256244138E13,18.841553,20.915222,440.78217,1.0238647,68.74237,496.78802
1.539827638574E13,17.49878,21.279907,441.14075,1.0238647,68.74237,496.78802
1.5398296527341E13,17.671204,21.676636,441.76788,1.0238647,68.74237,496.78802
1.5398316668943E13,17.97638,21.77887,441.96625,1.0238647,68.74237,496.78802
1.5398336810544E13,18.363953,20.613098,441.5863,1.0238647,68.74237,496.78802
1.5398356952146E13,18.882751,20.611572,442.09442,1.0238647,68.74237,496.78802
1.5398377093747E13,19.013977,20.742798,442.305,1.0238647,68.74237,496.78802
1.5398397235349E13,17.23175,20.603943,442.43927,1.0238647,68.74237,496.78802
1.5398417376951E13,17.03949,20.295715,441.40167,1.0238647,68.74237,496.78802
1.5398437518552E13,17.112732,20.223999,441.1194,1.0238647,68.74237,496.78802
1.5398457660154E13,18.844604,19.64569,441.4032,1.0238647,68.74237,496.78802
1.5398477801755E13,18.319702,19.819641,442.30652,1.0238647,68.74237,496.78802
1.5398497943357E13,18.148804,19.877625,442.47437,1.0238647,68.74237,496.78802
1.5398518084958E13,18.603516,18.206787,442.6239,1.0238647,68.74237,496.78802
1.539853822656E13,18.363953,20.7016,442.34772,1.0238647,68.74237,496.78802
1.5398558368161E13,18.322754,21.087646,442.305,1.0238647,68.74237,496.78802
1.5398578509763E13,18.640137,18.218994,441.9937,1.0238647,68.74237,496.78802
1.5398598651365E13,17.874146,18.452454,443.67828,1.0238647,68.74237,496.78802
1.5398618792966E13,17.803955,18.495178,443.82935,1.0238647,68.74237,496.78802
1.5398638934568E13,17.803955,17.82837,442.19666,1.0238647,68.74237,496.78802
1.5398659076169E13,17.637634,17.637634,442.2989,1.0238647,68.74237,496.78802
1.5398679217771E13,17.63153,17.63153,442.305,1.0238647,68.74237,496.78802
1.5398699359372E13,17.974854,17.285156,441.2979,1.0238647,68.74237,496.78802
1.5398719500974E13,17.803955,17.45758,442.47437,1.0238647,68.74237,496.78802
1.5398739642576E13,17.822266,17.488098,442.482,1.0238647,68.74237,496.78802
1.5398759784177E13,18.365479,18.241882,442.6712,1.0238647,68.74237,496.78802
1.5398779925779E13,19.186401,16.766357,443.15186,1.0238647,68.74237,496.78802
