t,wx,wy,wz,wdx,wdy,wdz 
1.5622432253921E13,0.05706787,0.033294678,0.012435913,0.021362308,0.031799316,0.032073975
1.5622437289321E13,0.057998657,0.0023345947,0.02255249,0.021362308,0.031799316,0.032073975
1.5622442324721E13,0.057998657,-0.02281189,0.032989502,0.021362308,0.031799316,0.032073975
1.5622447360122E13,0.058395386,-0.03199768,0.042922974,0.021362308,0.031799316,0.032073975
1.5622452395522E13,0.060775757,-0.033294678,0.053512573,0.021362308,0.031799316,0.032073975
1.5622457430923E13,0.064941406,-0.030899048,0.062332153,0.021362308,0.031799316,0.032073975
1.5622462466323E13,0.072891235,-0.026306152,0.0667572,0.021362308,0.031799316,0.032073975
1.5622467501723E13,0.082336426,-0.016464233,0.06777954,0.021362308,0.031799316,0.032073975
1.5622472537124E13,0.093048096,-0.0029144287,0.069488525,0.021362308,0.031799316,0.032073975
1.5622477572524E13,0.10093689,0.008743286,0.07244873,0.021362308,0.031799316,0.032073975
1.5622482607925E13,0.10774231,0.019866943,0.07522583,0.021362308,0.031799316,0.032073975
1.5622487643325E13,0.11022949,0.032714844,0.079559326,0.021362308,0.031799316,0.032073975
1.5622492678725E13,0.113082886,0.047225952,0.08441162,0.021362308,0.031799316,0.032073975
1.5622497714126E13,0.11430359,0.058807373,0.09098816,0.021362308,0.031799316,0.032073975
1.5622502749526E13,0.11279297,0.06309509,0.09716797,0.021362308,0.031799316,0.032073975
1.5622507784926E13,0.108306885,0.058532715,0.09933472,0.021362308,0.031799316,0.032073975
1.5622512820327E13,0.09805298,0.047317505,0.10069275,0.021362308,0.031799316,0.032073975
1.5622517855727E13,0.083847046,0.03543091,0.10028076,0.021362308,0.031799316,0.032073975
1.5622522891128E13,0.067276,0.025054932,0.10002136,0.021362308,0.031799316,0.032073975
1.5622527926528E13,0.049987793,0.020065308,0.09913635,0.021362308,0.031799316,0.032073975
1.5622532961928E13,0.035247803,0.02532959,0.095962524,0.021362308,0.031799316,0.032073975
1.5622537997329E13,0.024887085,0.035690308,0.09487915,0.021362308,0.031799316,0.032073975
1.5622543032729E13,0.01512146,0.04496765,0.09527588,0.021362308,0.031799316,0.032073975
1.562254806813E13,0.007904053,0.051605225,0.09844971,0.021362308,0.031799316,0.032073975
1.562255310353E13,0.0037231445,0.053863525,0.10310364,0.021362308,0.031799316,0.032073975
1.562255813893E13,-9.1552734E-5,0.052383423,0.10899353,0.021362308,0.031799316,0.032073975
1.5622563174331E13,-0.0029296875,0.050094604,0.115753174,0.021362308,0.031799316,0.032073975
1.5622568209731E13,-0.0039520264,0.04902649,0.12110901,0.021362308,0.031799316,0.032073975
1.5622573245132E13,-0.005706787,0.05026245,0.12371826,0.021362308,0.031799316,0.032073975
1.5622578280532E13,-0.007156372,0.055892944,0.122406006,0.021362308,0.031799316,0.032073975
1.5622583315932E13,-0.007736206,0.06486511,0.11872864,0.021362308,0.031799316,0.032073975
1.5622588351333E13,-0.009399414,0.07633972,0.11495972,0.021362308,0.031799316,0.032073975
1.5622593386733E13,-0.011642456,0.09185791,0.110961914,0.021362308,0.031799316,0.032073975
1.5622598422134E13,-0.013809204,0.108551025,0.1085968,0.021362308,0.031799316,0.032073975
1.5622603457534E13,-0.013977051,0.12142944,0.110183716,0.021362308,0.031799316,0.032073975
1.5622608492934E13,-0.01083374,0.1315918,0.116867065,0.021362308,0.031799316,0.032073975
